link,gia_xe,ngay_dang,nam_sx,xuat_xu,dia_diem,kieu_dang,so_km,hop_so,tinh_trang,nhien_lieu
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/128365937.htm,3.299.000.000 đ,Đăng6 giờ trước,2018,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,60000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-huyen-thach-that-ha-noi/129360564.htm,390.000.000 đ,Đăng6 giờ trước,2010,Đang cập nhật,"Xã Thạch Xá, Huyện Thạch Thất, Hà Nội",,80000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/125420473.htm,450.000.000 đ,Đăng7 giờ trước,2017,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,88000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/128271447.htm,518.000.000 đ,Đăng7 giờ trước,2018,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",SUV / Cross over,82000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/129315006.htm,515.000.000 đ,Đăng7 giờ trước,2015,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",,120000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/129314925.htm,515.000.000 đ,Đăng7 giờ trước,2015,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",,120000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/126707970.htm,560.000.000 đ,Đăng7 giờ trước,2017,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,89999,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/129106374.htm,365.000.000 đ,Đăng7 giờ trước,2016,Việt Nam,"Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Sedan,70555,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/129307821.htm,635.000.000 đ,Đăng7 giờ trước,2015,Nước khác,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,90000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-huyen-thach-that-ha-noi/128836324.htm,479.000.000 đ,Đăng7 giờ trước,2014,Đang cập nhật,"Xã Thạch Xá, Huyện Thạch Thất, Hà Nội",,59000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/129072883.htm,585.000.000 đ,Đăng16 ngày trước,2018,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",SUV / Cross over,86000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/129072796.htm,585.000.000 đ,Đăng7 giờ trước,2018,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",SUV / Cross over,86000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-hoang-mai-ha-noi/129396122.htm,303.000.000 đ,Đăng7 giờ trước,2019,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",,93000,Số sàn,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-bac-tu-liem-ha-noi/129319656.htm,688.000.000 đ,Đăng7 giờ trước,2020,Việt Nam,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",SUV / Cross over,38000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/128829227.htm,530.000.000 đ,Đăng7 giờ trước,2020,Việt Nam,"Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",Sedan,70000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-thanh-xuan-ha-noi/129027658.htm,1.955.000.000 đ,Đăng7 giờ trước,2019,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,150000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-huyen-thach-that-ha-noi/128835953.htm,1.039.000.000 đ,Đăng1 tháng trước,2014,Đang cập nhật,"Xã Thạch Xá, Huyện Thạch Thất, Hà Nội",Sedan,95003,Tự động,Đã sử dụng,Động cơ Hybrid
https://xe.chotot.com/mua-ban-xe-quan-ha-dong-ha-noi/128733808.htm,685.000.000 đ,Đăng1 tháng trước,2021,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",SUV / Cross over,60000,5,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-ha-dong-ha-noi/127149947.htm,210.000.000 đ,Đăng1 tháng trước,2009,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",,100000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-bac-tu-liem-ha-noi/129255378.htm,699.000.000 đ,Đăng7 ngày trước,2022,Việt Nam,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",SUV / Cross over,30000,Tự động,Đã sử dụng,Điện
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/126176885.htm,450.000.000 đ,Đăng7 giờ trước,2015,Hàn Quốc,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,120000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/127781881.htm,1.689.000.000 đ,Đăng7 giờ trước,2021,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,35000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-bac-tu-liem-ha-noi/129395897.htm,145.000.000 đ,Đăng7 giờ trước,2008,Việt Nam,"Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Minivan (MPV),8900,Số sàn,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-huyen-thach-that-ha-noi/128836030.htm,450.000.000 đ,Đăng7 giờ trước,2008,Đang cập nhật,"Xã Thạch Xá, Huyện Thạch Thất, Hà Nội",,80000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/127149560.htm,210.000.000 đ,Đăng1 tháng trước,2009,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",,100000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/128734007.htm,685.000.000 đ,Đăng8 giờ trước,2021,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",SUV / Cross over,60000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/127270604.htm,636.000.000 đ,Đăng8 giờ trước,2015,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Sedan,83000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/124049909.htm,550.000.000 đ,Đăng8 giờ trước,2022,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,59999,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/129091484.htm,959.000.000 đ,Đăng8 giờ trước,2022,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",SUV / Cross over,16000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/128872139.htm,620.000.000 đ,Đăng8 giờ trước,2021,Thái Lan,"Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",Pick-up (bán tải),90000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/129307913.htm,969.000.000 đ,Đăng8 giờ trước,2022,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,36000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-nam-tu-liem-ha-noi/129378066.htm,369.000.000 đ,Đăng8 giờ trước,2015,Việt Nam,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",Sedan,85000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-thanh-xuan-ha-noi/129364286.htm,289.000.000 đ,Đăng8 giờ trước,2010,Nước khác,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,127175,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-thanh-xuan-ha-noi/124499854.htm,635.000.000 đ,Đăng9 giờ trước,2014,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,10000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-thanh-xuan-ha-noi/129323386.htm,499.000.000 đ,Đăng9 giờ trước,2014,Đang cập nhật,"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",,136000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-cau-giay-ha-noi/127990722.htm,450.000.000 đ,Đăng9 giờ trước,2015,Việt Nam,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",SUV / Cross over,110000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-cau-giay-ha-noi/128527734.htm,92.000.000 đ,Đăng1 tháng trước,2003,Việt Nam,"Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Minivan (MPV),180000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-nam-tu-liem-ha-noi/128411670.htm,1.750.000.000 đ,Đăng2 tháng trước,2022,Đang cập nhật,"Phường Đại Mỗ, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,42000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/129263877.htm,358.000.000 đ,Đăng9 giờ trước,2014,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,120000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-cau-giay-ha-noi/129328524.htm,505.000.000 đ,Đăng9 giờ trước,2018,Việt Nam,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Sedan,70000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/129372539.htm,939.000.000 đ,Đăng9 giờ trước,2024,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,40000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-hai-ba-trung-ha-noi/128744564.htm,186.000.000 đ,Đăng9 giờ trước,2009,Việt Nam,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Minivan (MPV),100000,Số sàn,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-cau-giay-ha-noi/128069350.htm,1.265.000.000 đ,Đăng2 tháng trước,2023,Việt Nam,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Van,60000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-bac-tu-liem-ha-noi/129376475.htm,548.000.000 đ,Đăng10 giờ trước,2025,Việt Nam,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",,36977,Tự động,Đã sử dụng,Điện
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/122269874.htm,609.000.000 đ,Đăng10 giờ trước,2016,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Sedan,50000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/128335784.htm,420.000.000 đ,Đăng2 tháng trước,2019,Thái Lan,"Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Pick-up (bán tải),90000,Số sàn,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/128843726.htm,169.000.000 đ,Đăng10 giờ trước,2007,Nhật Bản,"Phường Phú La, Quận Hà Đông, Hà Nội",Minivan (MPV),250000,Số sàn,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-hai-ba-trung-ha-noi/128750593.htm,535.000.000 đ,Đăng10 giờ trước,2018,Thái Lan,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",SUV / Cross over,100000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-cau-giay-ha-noi/127933143.htm,1.090.000.000 đ,Đăng10 giờ trước,2012,Đức,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",SUV / Cross over,10000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/128735592.htm,1.189.000.000 đ,Đăng10 giờ trước,2022,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Van,57000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-hai-ba-trung-ha-noi/127969044.htm,368.000.000 đ,Đăng10 giờ trước,2013,Việt Nam,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",SUV / Cross over,10000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-cau-giay-ha-noi/127944153.htm,586.000.000 đ,Đăng10 giờ trước,2016,Đức,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",SUV / Cross over,56000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-long-bien-ha-noi/129129626.htm,528.000.000 đ,Đăng10 giờ trước,2022,Thái Lan,"Phường Đức Giang, Quận Long Biên, Hà Nội",SUV / Cross over,25000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-hoang-mai-ha-noi/129393326.htm,440.000.000 đ,Đăng10 giờ trước,2019,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,80000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-hoang-mai-ha-noi/129393267.htm,430.000.000 đ,Đăng10 giờ trước,2019,Đang cập nhật,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,80000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-tay-ho-ha-noi/129393223.htm,850.000.000 đ,Đăng10 giờ trước,2017,Việt Nam,"Phường Xuân La, Quận Tây Hồ, Hà Nội",Kiểu dáng khác,93000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/128435139.htm,899.000.000 đ,Đăng10 giờ trước,2020,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",SUV / Cross over,70000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-hai-ba-trung-ha-noi/126196333.htm,218.000.000 đ,Đăng10 giờ trước,2010,Việt Nam,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Sedan,120000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-hoang-mai-ha-noi/129351831.htm,430.000.000 đ,Đăng10 giờ trước,2022,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,50000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-cau-giay-ha-noi/124893623.htm,668.000.000 đ,Đăng10 giờ trước,2013,Mỹ,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Hatchback,152000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-nam-tu-liem-ha-noi/128624944.htm,495.000.000 đ,Đăng10 giờ trước,2017,Việt Nam,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,80000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/128271421.htm,999.000.000 đ,Đăng10 giờ trước,2018,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",SUV / Cross over,76000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-hai-ba-trung-ha-noi/128729120.htm,359.000.000 đ,Đăng11 giờ trước,2013,Việt Nam,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",SUV / Cross over,15000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-long-bien-ha-noi/128819676.htm,385.000.000 đ,Đăng1 tháng trước,2023,Việt Nam,"Phường Bồ Đề, Quận Long Biên, Hà Nội",,18000,Tự động,Đã sử dụng,Điện
https://xe.chotot.com/mua-ban-huyen-thanh-tri-ha-noi/128652454.htm,430.000.000 đ,Đăng1 tháng trước,2021,Nước khác,"Xã Duyên Hà, Huyện Thanh Trì, Hà Nội",Minivan (MPV),90000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-cau-giay-ha-noi/127360927.htm,985.000.000 đ,Đăng11 giờ trước,2015,Mỹ,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",SUV / Cross over,150000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-ha-dong-ha-noi/129272820.htm,450.000.000 đ,Đăng11 giờ trước,2017,Đang cập nhật,"Phường Quang Trung, Quận Hà Đông, Hà Nội",Sedan,93000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-cau-giay-ha-noi/125876748.htm,400.000.000 đ,Đăng11 giờ trước,2019,Thái Lan,"Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Hatchback,50000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-nam-tu-liem-ha-noi/126727502.htm,415.000.000 đ,Đăng11 giờ trước,2015,Việt Nam,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,98000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-thanh-xuan-ha-noi/127562500.htm,2.265.000.000 đ,Đăng11 giờ trước,2016,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",SUV / Cross over,86000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-hai-ba-trung-ha-noi/128363103.htm,389.000.000 đ,Đăng11 giờ trước,2019,Việt Nam,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Sedan,68000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-long-bien-ha-noi/129336571.htm,525.000.000 đ,Đăng11 giờ trước,2022,Việt Nam,"Phường Long Biên, Quận Long Biên, Hà Nội",Sedan,69000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-xe-quan-cau-giay-ha-noi/129291698.htm,1.168.000.000 đ,Đăng11 giờ trước,2022,Việt Nam,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",Minivan (MPV),70000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-xe-quan-ha-dong-ha-noi/129273209.htm,655.000.000 đ,Đăng11 giờ trước,2021,Thái Lan,"Phường Quang Trung, Quận Hà Đông, Hà Nội",,65000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/129392243.htm,4.859.000.000 đ,Đăng11 giờ trước,2022,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",SUV / Cross over,16000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-nam-tu-liem-ha-noi/126666763.htm,345.000.000 đ,Đăng11 giờ trước,2017,Việt Nam,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,90000,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-thanh-xuan-ha-noi/129361552.htm,769.000.000 đ,Đăng11 giờ trước,2016,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",,1,Tự động,Đã sử dụng,Xăng
https://xe.chotot.com/mua-ban-quan-hai-ba-trung-ha-noi/126236897.htm,499.000.000 đ,Đăng11 giờ trước,2020,Thái Lan,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Pick-up (bán tải),68000,Tự động,Đã sử dụng,Dầu
https://xe.chotot.com/mua-ban-quan-cau-giay-ha-noi/128743239.htm,745.000.000 đ,Đăng11 giờ trước,2019,Việt Nam,"Phường Yên Hoà, Quận Cầu Giấy, Hà Nội",SUV / Cross over,77000,Tự động,Đã sử dụng,Xăng
